model,epoch,dataset,loss_type,loss
Linear SVM,14,val,hinge_loss,0.2661686809976709
Linear SVM,15,train,hinge_loss,0.3138360941754656
Linear SVM,15,val,hinge_loss,0.26357598427602913
Linear SVM,16,train,hinge_loss,0.3057016989693336
Linear SVM,16,val,hinge_loss,0.26439154018508376
Linear SVM,17,train,hinge_loss,0.3079059617870665
Linear SVM,17,val,hinge_loss,0.28335627759937093
Linear SVM,18,train,hinge_loss,0.3099672573907702
Linear SVM,18,val,hinge_loss,0.3012409368136661
Linear SVM,19,train,hinge_loss,0.2894578154845645
Linear SVM,19,val,hinge_loss,0.24082493874659888
Linear SVM,20,train,hinge_loss,0.2665947627928225
Linear SVM,20,val,hinge_loss,0.24342461321496983
Linear SVM,21,train,hinge_loss,0.2946692960172826
Linear SVM,21,val,hinge_loss,0.2652090787239486
Linear SVM,22,train,hinge_loss,0.31425387958707685
Linear SVM,22,val,hinge_loss,0.2858900566975756
Linear SVM,23,train,hinge_loss,0.28505185491566554
Linear SVM,23,val,hinge_loss,0.2589964867764528
Linear SVM,24,train,hinge_loss,0.26896713799875027
Linear SVM,24,val,hinge_loss,0.24960468936176644
Linear SVM,25,train,hinge_loss,0.3329532623569659
Linear SVM,25,val,hinge_loss,0.32118295355530985
Linear SVM,26,train,hinge_loss,0.27129290697112385
Linear SVM,26,val,hinge_loss,0.2708783125556435
Linear SVM,27,train,hinge_loss,0.2683958632677061
Linear SVM,27,val,hinge_loss,0.2437177351835514
Linear SVM,28,train,hinge_loss,0.25337597502162995
Linear SVM,28,val,hinge_loss,0.22043877112145543
Linear SVM,29,train,hinge_loss,0.2782124503149134
Linear SVM,29,val,hinge_loss,0.2487601967707719
Linear SVM,30,train,hinge_loss,0.2792028943970615
Linear SVM,30,val,hinge_loss,0.2702354439656357
Linear SVM,31,train,hinge_loss,0.2595417961484722
Linear SVM,31,val,hinge_loss,0.25191966706483404
Linear SVM,32,train,hinge_loss,0.25147330426197295
Linear SVM,32,val,hinge_loss,0.23616031424842576
Linear SVM,33,train,hinge_loss,0.2525703382835346
Linear SVM,33,val,hinge_loss,0.23577042465638978
Linear SVM,34,train,hinge_loss,0.2551790561681097
Linear SVM,34,val,hinge_loss,0.23356053017619693
Linear SVM,35,train,hinge_loss,0.260628194774467
Linear SVM,35,val,hinge_loss,0.23967463363933253
Linear SVM,36,train,hinge_loss,0.25866919712118813
Linear SVM,36,val,hinge_loss,0.2512467977069088
Linear SVM,37,train,hinge_loss,0.2497326047554065
Linear SVM,37,val,hinge_loss,0.2295684733149979
Linear SVM,38,train,hinge_loss,0.24651315631726076
Linear SVM,38,val,hinge_loss,0.2298997165063128
Linear SVM,39,train,hinge_loss,0.2488882271373737
Linear SVM,39,val,hinge_loss,0.23016443783957985
Linear SVM,40,train,hinge_loss,0.2624450554240748
Linear SVM,40,val,hinge_loss,0.23572139755844085
Linear SVM,41,train,hinge_loss,0.2490397176062136
Linear SVM,41,val,hinge_loss,0.22505978363470913
Linear SVM,42,train,hinge_loss,0.24264037587117013
Linear SVM,42,val,hinge_loss,0.2268673883615168
Linear SVM,43,train,hinge_loss,0.2473060238287071
Linear SVM,43,val,hinge_loss,0.2306964623912724
Linear SVM,44,train,hinge_loss,0.2538690495616347
Linear SVM,44,val,hinge_loss,0.23709140942085546
Linear SVM,45,train,hinge_loss,0.24788334835757314
Linear SVM,45,val,hinge_loss,0.23495698274908774
Linear SVM,46,train,hinge_loss,0.2468585838369697
Linear SVM,46,val,hinge_loss,0.2335661443394663
Linear SVM,47,train,hinge_loss,0.250145655166153
Linear SVM,47,val,hinge_loss,0.23921358973754214
Linear SVM,48,train,hinge_loss,0.24190351824624198
Linear SVM,48,val,hinge_loss,0.21465337214541158
Linear SVM,49,train,hinge_loss,0.245429186085679
Linear SVM,49,val,hinge_loss,0.22360891343838507
Linear SVM,50,train,hinge_loss,0.24475700369796288
Linear SVM,50,val,hinge_loss,0.2247541085176924
Linear SVM,51,train,hinge_loss,0.25719452792067543
Linear SVM,51,val,hinge_loss,0.23967345290437658
Linear SVM,52,train,hinge_loss,0.24109527430871547
Linear SVM,52,val,hinge_loss,0.23170939585057002
Linear SVM,53,train,hinge_loss,0.23962750052077167
Linear SVM,53,val,hinge_loss,0.22148437755206246
Linear SVM,54,train,hinge_loss,0.2401057853272927
Linear SVM,54,val,hinge_loss,0.2221299545881517
Linear SVM,55,train,hinge_loss,0.2401905485475884
Linear SVM,55,val,hinge_loss,0.22417241792947143
Linear SVM,56,train,hinge_loss,0.2374163935342132
Linear SVM,56,val,hinge_loss,0.2222570892296827
Linear SVM,57,train,hinge_loss,0.2343545645064858
Linear SVM,57,val,hinge_loss,0.22122421761566352
Linear SVM,58,train,hinge_loss,0.2380648441148836
Linear SVM,58,val,hinge_loss,0.22432075282449407
Linear SVM,59,train,hinge_loss,0.23691768388550705
Linear SVM,59,val,hinge_loss,0.22302094834818267
Linear SVM,60,train,hinge_loss,0.22975105174738583
Linear SVM,60,val,hinge_loss,0.21408173623081922
MLP,1,train,cross_entropy_like_loss,1.0424686667874998
MLP,2,train,cross_entropy_like_loss,0.2944045239315585
MLP,3,train,cross_entropy_like_loss,0.23393181900531243
MLP,4,train,cross_entropy_like_loss,0.21868900083453677
MLP,5,train,cross_entropy_like_loss,0.21121046523241063
MLP,6,train,cross_entropy_like_loss,0.20544893671554684
MLP,7,train,cross_entropy_like_loss,0.2020255018041305
MLP,8,train,cross_entropy_like_loss,0.19917025977612346
MLP,9,train,cross_entropy_like_loss,0.19631976450222055
MLP,10,train,cross_entropy_like_loss,0.19427588538898027
MLP,11,train,cross_entropy_like_loss,0.19453832976182797
MLP,12,train,cross_entropy_like_loss,0.19081167957071757
MLP,13,train,cross_entropy_like_loss,0.18926309186275914
MLP,14,train,cross_entropy_like_loss,0.1904788322971127
MLP,15,train,cross_entropy_like_loss,0.1877933906192497
MLP,16,train,cross_entropy_like_loss,0.18663028570690035
MLP,17,train,cross_entropy_like_loss,0.1867741139734769
MLP,18,train,cross_entropy_like_loss,0.18615346524319332
MLP,19,train,cross_entropy_like_loss,0.18473906687842764
MLP,20,train,cross_entropy_like_loss,0.18309684245693303
MLP,21,train,cross_entropy_like_loss,0.18292573316106017
MLP,22,train,cross_entropy_like_loss,0.18312830669978114
MLP,23,train,cross_entropy_like_loss,0.18283924447024535
MLP,24,train,cross_entropy_like_loss,0.18153147900421746
XGBoost,1,validation_0,mlogloss,1.691018066004328
XGBoost,2,validation_0,mlogloss,1.577214937730424
XGBoost,3,validation_0,mlogloss,1.4794878056209162
XGBoost,4,validation_0,mlogloss,1.3936883075907396
XGBoost,5,validation_0,mlogloss,1.3171305033918006
XGBoost,6,validation_0,mlogloss,1.2480330285079653
XGBoost,7,validation_0,mlogloss,1.1854479907500572
XGBoost,8,validation_0,mlogloss,1.1281316616491783
XGBoost,9,validation_0,mlogloss,1.0751505758929703
XGBoost,10,validation_0,mlogloss,1.0264646210921862
XGBoost,11,validation_0,mlogloss,0.9814286784010285
XGBoost,12,validation_0,mlogloss,0.9394859997683997
XGBoost,13,validation_0,mlogloss,0.8998816635976725
XGBoost,14,validation_0,mlogloss,0.8634483904057297
XGBoost,15,validation_0,mlogloss,0.8286255116677468
XGBoost,16,validation_0,mlogloss,0.796273850157777
XGBoost,17,validation_0,mlogloss,0.7658491639994099
XGBoost,18,validation_0,mlogloss,0.7368440796083794
XGBoost,19,validation_0,mlogloss,0.7099124568268637
XGBoost,20,validation_0,mlogloss,0.6844357306344075
XGBoost,21,validation_0,mlogloss,0.6602877151190852
XGBoost,22,validation_0,mlogloss,0.6373837537531174
XGBoost,23,validation_0,mlogloss,0.6155559097473638
XGBoost,24,validation_0,mlogloss,0.5948843784323745
XGBoost,25,validation_0,mlogloss,0.5752398774433949
XGBoost,26,validation_0,mlogloss,0.5568137094057022
XGBoost,27,validation_0,mlogloss,0.5392143444727436
XGBoost,28,validation_0,mlogloss,0.5222762173964302
XGBoost,29,validation_0,mlogloss,0.506780176715049
XGBoost,30,validation_0,mlogloss,0.4915845178747433
XGBoost,31,validation_0,mlogloss,0.47715243699518517
