model,noise_type,noise_strength,baseline_accuracy,test_accuracy,accuracy_drop,relative_drop,train_time_seconds
mlp,feature_dropout,0.2,0.926561929119474,0.9137742053343076,0.01278772378516635,0.013801261829653112,1.024816600001941
mlp,label_noise,0.05,0.926561929119474,0.9199853854585313,0.006576543660942735,0.00709779179810736,0.4477770999947097
mlp,label_noise,0.1,0.926561929119474,0.9272926561929119,-0.000730727073437909,-0.0007886435331228536,0.7524116999993566
mlp,label_noise,0.2,0.926561929119474,0.9251004749725977,0.001461454146876262,0.0015772870662461864,0.9540162999983295
random_forest,gaussian,0.05,0.9214468396054074,0.9229082937522836,-0.001461454146876151,-0.0015860428231562352,0.5856626000022516
random_forest,gaussian,0.1,0.9214468396054074,0.9229082937522836,-0.001461454146876151,-0.0015860428231562352,0.5749304000055417
random_forest,gaussian,0.2,0.9214468396054074,0.9269272926561929,-0.005480453050785483,-0.005947660586835792,0.5796365999995032
random_forest,uniform,0.05,0.9214468396054074,0.9199853854585313,0.001461454146876151,0.0015860428231562352,0.5804850999993505
random_forest,uniform,0.1,0.9214468396054074,0.9240043843624406,-0.002557544757033181,-0.0027755749405233214,0.5777307999960613
random_forest,uniform,0.2,0.9214468396054074,0.9240043843624406,-0.002557544757033181,-0.0027755749405233214,0.6042213999971864
random_forest,feature_dropout,0.05,0.9214468396054074,0.9240043843624406,-0.002557544757033181,-0.0027755749405233214,0.5586652999991202
random_forest,feature_dropout,0.1,0.9214468396054074,0.9232736572890026,-0.001826817683595161,-0.001982553528945264,0.5744602999984636
random_forest,feature_dropout,0.2,0.9214468396054074,0.9199853854585313,0.001461454146876151,0.0015860428231562352,0.5747420999978203
random_forest,label_noise,0.05,0.9214468396054074,0.9229082937522836,-0.001461454146876151,-0.0015860428231562352,0.6773996000047191
random_forest,label_noise,0.1,0.9214468396054074,0.9210814760686884,0.00036536353671901,0.0003965107057890287,0.7381107000037446
random_forest,label_noise,0.2,0.9214468396054074,0.9148702959444648,0.006576543660942624,0.0071371927042029985,0.7348234000019147
xgboost,gaussian,0.05,0.9254658385093169,0.9247351114358787,0.000730727073438131,0.0007895775759969066,1.1411002000022563
xgboost,gaussian,0.1,0.9254658385093169,0.9229082937522836,0.002557544757033292,0.0027635215159889934,1.0460779999993974
xgboost,gaussian,0.2,0.9254658385093169,0.9261965655827549,-0.00073072707343802,-0.0007895775759967867,1.037243499995384
xgboost,uniform,0.05,0.9254658385093169,0.927658019729631,-0.002192181220314171,-0.00236873272799048,1.0269178000016836
xgboost,uniform,0.1,0.9254658385093169,0.92802338326635,-0.002557544757033181,-0.0027635215159888733,1.017432300002838
xgboost,uniform,0.2,0.9254658385093169,0.9258312020460358,-0.000365363536718899,-0.0003947887879982734,1.0225811999989673
xgboost,feature_dropout,0.05,0.9254658385093169,0.928388746803069,-0.002922908293752191,-0.0031583103039872665,1.036364700004924
xgboost,feature_dropout,0.1,0.9254658385093169,0.9309462915601023,-0.005480453050785483,-0.005921831819976259,1.0391458999947645
xgboost,feature_dropout,0.2,0.9254658385093169,0.92802338326635,-0.002557544757033181,-0.0027635215159888733,1.3424010000017006
xgboost,label_noise,0.05,0.9254658385093169,0.9258312020460358,-0.000365363536718899,-0.0003947887879982734,1.3407477000000654
xgboost,label_noise,0.1,0.9254658385093169,0.9254658385093167,1.1102230246251565e-16,1.1996369594942965e-16,1.3717559000069741
xgboost,label_noise,0.2,0.9254658385093169,0.9221775666788454,0.003288271830471423,0.0035530990919859,1.2650349000032293
